name,lng,lat,lng_m,lat_m
0,堆金村,106.461703,29.617456,11851391.519872617,3433161.522478625
1,嘉陵幼儿园,106.45818200000001,29.617248999999997,11850999.559680672,3433135.1517035174
2,嘉陵医院,106.45635300000001,29.614784000000004,11850795.954116609,3432821.1271131523
3,嘉陵花园,106.45598000000001,29.610238,11850754.431494743,3432242.017321618
4,嘉陵街,106.45316000000001,29.609646,11850440.50711494,3432166.605053493
5,双碑,106.451776,29.609681,11850286.43926329,3432171.0635366314
6,双碑,106.44916299999998,29.608496000000002,11849995.558268812,3432020.1129057463
7,特钢花园,106.446922,29.606883000000003,11849746.088575503,3431814.6445895964
8,莲光校,106.445996,29.604001,11849643.005605396,3431447.5358769707
9,天桥,106.44632,29.598792,11849679.073512863,3430784.041154763
10,东华医院,106.44611299999998,29.595467,11849656.030127537,3430360.5384349213
11,石井坡,106.450897,29.593272999999996,11850188.58836618,3430081.0980469207
12,童家桥,106.452491,29.584169,11850366.03356526,3428921.626121321
13,红岩广场,106.45219499999999,29.577357,11850333.082637452,3428054.129021515
14,烈士墓,106.451683,29.574714,11850276.086438,3427717.563201995
15,林泉雅舍,106.45200200000001,29.572122999999998,11850311.597741956,3427387.627824142
16,杨公桥,106.455572,29.568864,11850709.012648301,3426972.6421312345
17,重大c区,106.46203100000001,29.567103999999997,11851428.033062894,3426748.5376562504
18,陈家湾·佳和医院,106.46343300000001,29.56565,11851584.104687179,3426563.399776281
19,沙坪坝火车站,106.468498,29.560890999999998,11852147.944043098,3425957.4549374343
20,沙坪坝三角碑,106.47020400000001,29.564544,11852337.85716081,3426422.574553665
21,南开中学,106.46880800000001,29.566879999999998,11852182.453460738,3426720.0155515545
22,欣阳广场,106.46891200000002,29.569872999999998,11852194.030813754,3427101.121987501
23,重大,106.47010700000001,29.572708000000002,11852327.059052711,3427462.1203980907
24,学林雅园,106.468125,29.576594,11852106.421421232,3427956.965897865
25,重大,106.470013,29.572652,11852316.594906716,3427454.9894661577
