,index,lng,lat,lng_m,lat_m
0,0,106.461639,29.617458,11851384.4,3433161.777
1,1,106.461288,29.617582,11851345.32,3433177.574
2,2,106.461288,29.617582,11851345.32,3433177.574
3,3,106.460586,29.61768,11851267.17,3433190.059
4,4,106.460585,29.61768,11851267.06,3433190.059
5,5,106.460485,29.617679,11851255.93,3433189.932
6,6,106.460375,29.617678,11851243.69,3433189.804
7,7,106.459623,29.617671,11851159.97,3433188.912
8,8,106.459623,29.617671,11851159.97,3433188.912
9,9,106.458758,29.617841,11851063.68,3433210.57
10,10,106.45855,29.617882,11851040.53,3433215.793
11,11,106.458549,29.617882,11851040.41,3433215.793
12,12,106.458129,29.617756,11850993.66,3433199.741
13,13,106.458129,29.617756,11850993.66,3433199.741
14,14,106.458208,29.617252,11851002.45,3433135.534
15,15,106.458209,29.617245,11851002.57,3433134.642
16,16,106.458208,29.617245,11851002.45,3433134.642
17,17,106.458248,29.617025,11851006.91,3433106.615
18,18,106.458248,29.617025,11851006.91,3433106.615
19,19,106.458188,29.616705,11851000.23,3433065.849
20,20,106.458138,29.616616,11850994.66,3433054.511
21,21,106.458138,29.616616,11850994.66,3433054.511
22,22,106.458077,29.616577,11850987.87,3433049.543
23,23,106.457828,29.616419,11850960.15,3433029.414
24,24,106.457687,29.61623,11850944.46,3433005.337
25,25,106.457687,29.61623,11850944.46,3433005.337
26,26,106.457567,29.615982,11850931.1,3432973.743
27,27,106.457567,29.615981,11850931.1,3432973.616
28,28,106.457507,29.615772,11850924.42,3432946.991
29,29,106.457576,29.615461,11850932.1,3432907.372
30,30,106.457587,29.615412,11850933.32,3432901.129
31,31,106.457586,29.615411,11850933.21,3432901.002
32,32,106.457526,29.615322,11850926.53,3432889.664
33,33,106.457487,29.615263,11850922.19,3432882.148
34,34,106.457486,29.615263,11850922.08,3432882.148
35,35,106.457206,29.615185,11850890.91,3432872.211
36,36,106.456785,29.615149,11850844.04,3432867.625
37,37,106.456784,29.615149,11850843.93,3432867.625
38,38,106.456495,29.615082,11850811.76,3432859.09
39,39,106.456495,29.615082,11850811.76,3432859.09
40,40,106.456455,29.615132,11850807.31,3432865.46
